,demographic,pearson's r,p-value
0,country_longest_African-Islamic,0.40,0.028997447301207825
1,country_longest_Baltic,0.71*,2.491788922170993e-06
2,country_longest_Catholic-Europe,0.58*,7.480531129358734e-08
3,country_longest_Confucian,0.53*,2.294002923069087e-06
4,country_longest_English-Speaking,0.63*,2.227519543201316e-31
5,country_longest_Latin-America,0.42,0.05766575501890948
6,country_longest_Orthodox-Europe,0.60*,4.189671810007147e-08
7,country_longest_Protestant-Europe,0.51*,3.3302694926759284e-09
8,country_longest_West-South-Asia,0.60*,2.1038726120483283e-08
9,education_college,0.64*,1.0508727985716667e-32
10,education_graduate school,0.56*,3.1535391268194524e-23
11,education_high school,0.54*,1.6473187366676058e-21
12,education_phd,0.51*,2.2677354679534826e-16
13,education_pre-high school,0.46*,8.52643669567168e-11
14,education_professional school,0.46*,1.503646862712931e-09
15,ethnicity_asian,0.55*,1.4825920691174656e-22
16,ethnicity_black,0.50*,8.08040835176939e-15
17,ethnicity_latino/latina,0.53*,5.0683181381313987e-14
18,ethnicity_native american,0.52*,3.1113518268572025e-05
19,ethnicity_pacific islander,0.63,0.0013822378217105402
20,ethnicity_white,0.61*,1.4368921185489549e-29
21,gender_man,0.62*,3.0346457437899823e-31
22,gender_non-binary,0.52*,1.9890684533593162e-18
23,gender_woman,0.59*,2.237757362256586e-27
24,native_language_english,0.64*,6.504980557409265e-33
25,native_language_not english,0.52*,3.595499685043851e-17
26,age_10-20,0.60*,6.8186894429749345e-28
27,age_20-30,0.66*,1.2802450030455142e-36
28,age_30-40,0.51*,3.387375291719269e-17
29,age_40-50,0.54*,1.2899468197329967e-17
30,age_50-60,0.52*,1.709689397253171e-11
31,age_60-70,0.44*,1.1043361245815085e-07
32,age_70-80,0.52*,0.00041991353866038485
33,age_> 80,0.48,0.9082920493897769
34,country_residence_African-Islamic,0.40,0.058574285897946235
35,country_residence_Baltic,0.59*,0.00014740628940478406
36,country_residence_Catholic-Europe,0.42*,6.74686939549928e-05
37,country_residence_Confucian,0.62*,1.9077791096616907e-09
38,country_residence_English-Speaking,0.65*,1.8427157478037e-34
39,country_residence_Latin-America,0.57*,2.4791289142824115e-05
40,country_residence_Orthodox-Europe,0.60*,1.7295033976561558e-06
41,country_residence_Protestant-Europe,0.52*,6.4478929282707565e-12
42,country_residence_West-South-Asia,0.57*,8.914728889704826e-07
43,religion_buddhist,0.58*,3.164738787469253e-10
44,religion_christian,0.54*,2.1531650675188297e-21
45,religion_hindu,0.60*,3.572202026829469e-11
46,religion_jew,0.60*,1.8538285380460558e-13
47,religion_muslim,0.60*,1.9617004094725924e-14
48,religion_spiritual,0.60*,3.486401028748617e-07
