,demographic,pearson's r,p-value
0,country_longest_African-Islamic,0.40*,0.00023565453240915107
1,country_longest_Baltic,0.32,1.0
2,country_longest_Catholic-Europe,0.39,0.0016048583278629412
3,country_longest_Confucian,0.50*,0.00010656021318652904
4,country_longest_English-Speaking,0.70*,1.5149525270799115e-43
5,country_longest_Latin-America,0.41,0.2689937013802478
6,country_longest_Orthodox-Europe,0.35,0.1221862789334822
7,country_longest_Protestant-Europe,0.49*,2.2503362249928076e-09
8,country_longest_West-South-Asia,0.35,0.13834316496486138
9,education_college,0.67*,6.157198790415424e-38
10,education_graduate school,0.59*,1.6502246496928204e-24
11,education_high school,0.60*,9.488343224619098e-27
12,education_phd,0.51*,3.6715787971544543e-13
13,education_pre-high school,0.36,0.015683113041565843
14,education_professional school,0.59*,3.3862695759655967e-13
15,ethnicity_asian,0.58*,9.451987191578038e-24
16,ethnicity_black,0.51*,2.21895861111797e-12
17,ethnicity_latino/latina,0.44*,1.5593430593805513e-08
18,ethnicity_native american,0.14,1.0
19,ethnicity_pacific islander,0.25,1.0
20,ethnicity_white,0.71*,1.8860256589882368e-45
21,gender_man,0.66*,3.1675311563485624e-36
22,gender_non-binary,0.59*,1.5765056592880347e-18
23,gender_woman,0.67*,9.155267999900084e-39
24,native_language_english,0.71*,1.3732002740224146e-45
25,native_language_not english,0.52*,4.843486883868615e-16
26,age_10-20,0.63*,5.655535373487373e-33
27,age_20-30,0.66*,1.3541902515006574e-36
28,age_30-40,0.49*,2.951033460695635e-13
29,age_40-50,0.65*,5.254827063243401e-21
30,age_50-60,0.53*,1.2295796824171726e-11
31,age_60-70,0.41,1.0
32,age_70-80,0.49,1.0
33,age_> 80,0.63,1.0
34,country_residence_African-Islamic,0.34,0.015657495129196036
35,country_residence_Baltic,0.44,1.0
36,country_residence_Catholic-Europe,0.38,0.0032724173818653906
37,country_residence_Confucian,0.56*,5.450967895978991e-06
38,country_residence_English-Speaking,0.70*,4.2373969861782685e-44
39,country_residence_Latin-America,0.30,1.0
40,country_residence_Orthodox-Europe,0.25,1.0
41,country_residence_Protestant-Europe,0.51*,1.018660534081996e-10
42,country_residence_West-South-Asia,0.62,0.034993158317658056
43,religion_buddhist,0.48,0.004190269897526801
44,religion_christian,0.53*,2.667757945897611e-20
45,religion_hindu,0.50*,6.679691253229185e-06
46,religion_jew,0.70*,1.9485131679379492e-16
47,religion_muslim,0.47,0.004412920276016215
48,religion_spiritual,0.47,0.8152241579152031
