,demographic,pearson's r,p-value
0,country_longest_African-Islamic,0.40*,0.00016474130094226518
1,country_longest_Baltic,0.32,1.0
2,country_longest_Catholic-Europe,0.46*,1.597819104476377e-05
3,country_longest_Confucian,0.47*,0.00017998949756790317
4,country_longest_English-Speaking,0.72*,1.3346997158725756e-47
5,country_longest_Latin-America,0.41,0.16888099088210093
6,country_longest_Orthodox-Europe,0.41,0.006577178718545012
7,country_longest_Protestant-Europe,0.51*,3.059885060879916e-11
8,country_longest_West-South-Asia,0.34,0.1349041863581694
9,education_college,0.68*,5.951555540538342e-41
10,education_graduate school,0.59*,1.5259262445291332e-25
11,education_high school,0.63*,2.1433169917044968e-30
12,education_phd,0.57*,9.871921974628648e-19
13,education_pre-high school,0.30,0.09376116053538971
14,education_professional school,0.62*,1.6852361097310115e-15
15,ethnicity_asian,0.58*,4.82341438570525e-24
16,ethnicity_black,0.49*,3.4587302520291664e-12
17,ethnicity_latino/latina,0.53*,1.427448688579698e-15
18,ethnicity_native american,0.18,1.0
19,ethnicity_pacific islander,0.26,1.0
20,ethnicity_white,0.71*,2.5329918570133555e-46
21,gender_man,0.68*,4.9953001176087575e-39
22,gender_non-binary,0.64*,3.7842138216642615e-28
23,gender_woman,0.69*,1.2753568425160254e-42
24,native_language_english,0.71*,2.9081198172877918e-46
25,native_language_not english,0.57*,9.097834686547308e-21
26,age_10-20,0.64*,2.8619396560233306e-34
27,age_20-30,0.68*,4.564338677601294e-39
28,age_30-40,0.57*,1.5072967572546191e-21
29,age_40-50,0.62*,9.275269564607066e-22
30,age_50-60,0.57*,8.324986223930711e-16
31,age_60-70,0.48*,0.0005430077470774232
32,age_70-80,0.46,0.1103799107058916
33,age_> 80,0.63,1.0
34,country_residence_African-Islamic,0.34,0.011915450868954977
35,country_residence_Baltic,0.44,1.0
36,country_residence_Catholic-Europe,0.40*,0.00035962051659235684
37,country_residence_Confucian,0.59*,1.7593774602231257e-07
38,country_residence_English-Speaking,0.70*,4.2373969861787464e-44
39,country_residence_Latin-America,0.34,1.0
40,country_residence_Orthodox-Europe,0.38,0.040230916095426235
41,country_residence_Protestant-Europe,0.50*,3.590103632471434e-11
42,country_residence_West-South-Asia,0.62,0.034993158317658056
43,religion_buddhist,0.43,0.013967689651233265
44,religion_christian,0.56*,1.0516243678114415e-23
45,religion_hindu,0.48*,4.6184474208060215e-06
46,religion_jew,0.69*,2.997906833895227e-17
47,religion_muslim,0.47,0.0019444331351848357
48,religion_spiritual,0.47,0.8152241579152031
