,demographic,pearson's r,p-value
0,country_longest_African-Islamic,0.41*,8.090350125501609e-05
1,country_longest_Baltic,0.37,0.7503604233516
2,country_longest_Catholic-Europe,0.34,0.009960510193463125
3,country_longest_Confucian,0.47*,0.00013213132999755948
4,country_longest_English-Speaking,0.61*,1.1538839893505442e-29
5,country_longest_Latin-America,0.39,0.27030836504048333
6,country_longest_Orthodox-Europe,0.42,0.004409341944749387
7,country_longest_Protestant-Europe,0.47*,2.26197353993641e-09
8,country_longest_West-South-Asia,0.39,0.02578430034049704
9,education_college,0.58*,2.7152011221986587e-26
10,education_graduate school,0.53*,1.6004040325949223e-19
11,education_high school,0.54*,1.320539501062321e-20
12,education_phd,0.49*,4.324726680357478e-13
13,education_pre-high school,0.36,0.007145112166838932
14,education_professional school,0.39*,5.632262138954132e-05
15,ethnicity_asian,0.48*,7.132894689209698e-15
16,ethnicity_black,0.34*,2.812864559662831e-05
17,ethnicity_latino/latina,0.48*,2.3486724998817287e-12
18,ethnicity_native american,0.27,0.5916525953510411
19,ethnicity_pacific islander,0.45,0.021057819840674796
20,ethnicity_white,0.61*,9.051906933994814e-30
21,gender_man,0.59*,6.287442490210808e-28
22,gender_non-binary,0.44*,3.6518882693801656e-11
23,gender_woman,0.58*,1.5858752049624893e-26
24,native_language_english,0.61*,1.1096028566407168e-30
25,native_language_not english,0.52*,1.4706205367620376e-16
26,age_10-20,0.55*,1.337105949564934e-23
27,age_20-30,0.59*,5.90367875400346e-27
28,age_30-40,0.46*,7.941058049853504e-13
29,age_40-50,0.57*,1.6031594071596566e-17
30,age_50-60,0.50*,3.661515036659082e-11
31,age_60-70,0.44,0.0021908420610007606
32,age_70-80,0.34,1.0
33,age_> 80,0.45,1.0
34,country_residence_African-Islamic,0.24,0.5862581389548304
35,country_residence_Baltic,0.66,0.07749172350751211
36,country_residence_Catholic-Europe,0.45*,1.1727076686082834e-05
37,country_residence_Confucian,0.55*,2.6097237726225993e-06
38,country_residence_English-Speaking,0.60*,2.767177732410844e-29
39,country_residence_Latin-America,0.42,0.45538163619457017
40,country_residence_Orthodox-Europe,0.39,0.02972052300370743
41,country_residence_Protestant-Europe,0.42*,2.4532407881711024e-07
42,country_residence_West-South-Asia,0.53,0.25560040442958337
43,religion_buddhist,0.19,1.0
44,religion_christian,0.51*,1.551512392565013e-18
45,religion_hindu,0.33,0.02397573548079376
46,religion_jew,0.48*,8.942541605396784e-07
47,religion_muslim,0.37,0.08871588809828052
48,religion_spiritual,0.38,1.0
