,demographic,pearson's r,p-value
0,country_longest_African-Islamic,0.25,0.25499448718180395
1,country_longest_Baltic,0.12,1.0
2,country_longest_Catholic-Europe,0.18,1.0
3,country_longest_Confucian,0.42,0.004073459667465636
4,country_longest_English-Speaking,0.43*,6.968410831237647e-13
5,country_longest_Latin-America,0.28,1.0
6,country_longest_Orthodox-Europe,0.18,1.0
7,country_longest_Protestant-Europe,0.37*,5.9656443648995084e-05
8,country_longest_West-South-Asia,0.33,0.25504443977087604
9,education_college,0.40*,5.280807163366847e-11
10,education_graduate school,0.40*,7.739015541567767e-10
11,education_high school,0.36*,4.327756281057414e-08
12,education_phd,0.40*,2.519706907982855e-07
13,education_pre-high school,0.33,0.05535906364056561
14,education_professional school,0.20,0.8514217504686228
15,ethnicity_asian,0.38*,8.681098580923179e-09
16,ethnicity_black,0.35*,4.741183939149243e-05
17,ethnicity_latino/latina,0.29,0.003529487208627491
18,ethnicity_native american,0.28,0.9889039958011412
19,ethnicity_pacific islander,0.53,0.009420301905154709
20,ethnicity_white,0.40*,1.909354356148193e-11
21,gender_man,0.37*,4.101612047061128e-09
22,gender_non-binary,0.33*,7.652234488587149e-05
23,gender_woman,0.37*,1.0061245032944393e-09
24,native_language_english,0.43*,1.8217565921148673e-13
25,native_language_not english,0.44*,9.450286418501883e-11
26,age_10-20,0.34*,7.938415265180104e-08
27,age_20-30,0.43*,4.0211563202832754e-13
28,age_30-40,0.36*,1.7901178248291526e-06
29,age_40-50,0.35*,9.809386743656452e-05
30,age_50-60,0.26,0.037915591520871615
31,age_60-70,0.14,1.0
32,age_70-80,0.85*,6.156159481105827e-05
33,age_> 80,0.43,1.0
34,country_residence_African-Islamic,0.26,0.3160375611644199
35,country_residence_Baltic,0.20,1.0
36,country_residence_Catholic-Europe,0.24,0.7104005548327246
37,country_residence_Confucian,0.42,0.007014116222999374
38,country_residence_English-Speaking,0.43*,3.770064952907478e-13
39,country_residence_Latin-America,0.17,1.0
40,country_residence_Orthodox-Europe,0.23,1.0
41,country_residence_Protestant-Europe,0.33*,0.0005922819632465146
42,country_residence_West-South-Asia,0.19,1.0
43,religion_buddhist,0.38,0.1417086574222684
44,religion_christian,0.35*,5.479930131337894e-08
45,religion_hindu,0.35,0.015624603495435159
46,religion_jew,0.28,0.09862809899368166
47,religion_muslim,0.25,1.0
48,religion_spiritual,nan0,nan
